time,Max_Power[W],Command_Power[W],Min_Power[W]
09/03/24 15:19:20, , , 
09/03/24 15:20:02, , , 
09/03/24 15:21:02, , , 
09/03/24 15:22:02, , , 
09/03/24 15:23:02, , , 
09/03/24 15:24:02, , , 
09/03/24 15:25:02, , , 
09/03/24 15:26:02, , , 
09/03/24 15:27:02, , , 
09/03/24 15:28:03, , , 
09/03/24 15:29:02, , , 
09/03/24 15:30:02, , , 
09/03/24 15:31:03, 047.39, 047.39, 022.51
09/03/24 15:32:02, 051.43, 051.43, 040.41
09/03/24 15:33:02, 054.47, 054.47, 054.47
09/03/24 15:34:02, 056.98, 056.98, 056.98
09/03/24 15:35:02, 059.18, 059.18, 059.18
09/03/24 15:36:02, 061.08, 061.08, 060.00
09/03/24 15:37:02, 062.75, 062.75, 060.00
09/03/24 15:38:02, , , 
09/03/24 15:39:02, 065.55, 065.55, 060.00
09/03/24 15:40:02, 060.00, , 066.72
09/03/24 15:41:03, 067.78, 067.78, 060.00
09/03/24 15:42:02, 068.72, 068.72, 060.00
09/03/24 15:43:02, 069.59, 069.59, 060.00
09/03/24 15:44:02, 070.39, 070.39, 060.00
09/03/24 15:45:03, , , 
09/03/24 15:46:02, 071.85, 071.85, 060.00
09/03/24 15:47:02, , , 
09/03/24 15:48:02, 073.17, 073.17, 060.00
09/03/24 15:49:02, 073.80, 073.80, 060.00
09/03/24 15:50:02, 060.00, , 074.40
09/03/24 15:51:02, 074.97, 074.97, 060.00
09/03/24 15:52:02, , , 
09/03/24 15:53:02, , , 
09/03/24 15:54:02, 076.55, 076.55, 060.00
09/03/24 15:55:02, , , 
09/03/24 15:56:02, , , 
09/03/24 15:57:02, , , 
09/03/24 15:58:02, , , 
09/03/24 15:59:02, 060.00, , 078.87
09/03/24 16:00:02, 079.32, 079.32, 060.00
09/03/24 16:01:02, 079.76, 079.76, 060.00
09/03/24 16:02:02, , , 
09/03/24 16:03:03, 060.00, , 080.67
09/03/24 16:04:02, 060.00, , 081.13
09/03/24 16:05:02, 081.58, 081.58, 060.00
09/03/24 16:06:02, 082.03, , 
09/03/24 16:07:02, 082.47, 082.47, 060.00
09/03/24 16:08:02, 060.00, , 082.89
09/03/24 16:09:02, , , 
09/03/24 16:10:03, , , 
09/03/24 16:11:02, , , 
09/03/24 16:12:02, 060.00, , 084.51
09/03/24 16:13:02, , , 
09/03/24 16:14:02, 085.28, 085.28, 060.00
09/03/24 16:15:02, , , 
09/03/24 16:16:02, 086.04, 086.04, 060.00
09/03/24 16:17:03, 086.44, 086.44, 060.00
09/03/24 16:18:02, 060.00, , 086.83
09/03/24 16:19:02, 087.24, 087.24, 060.00
09/03/24 16:20:02, 087.64, 087.64, 060.00
09/03/24 16:21:02, 088.04, 088.04, 060.00
09/03/24 16:22:02, , , 
09/03/24 16:23:02, 088.80, 088.80, 060.00
09/03/24 16:24:03, , , 
09/03/24 16:25:02, 060.00, , 089.53
09/03/24 16:26:02, 089.88, 089.88, 060.00
09/03/24 16:27:02, 090.28, 090.28, 060.00
09/03/24 16:28:02, 090.71, 090.71, 060.00
09/03/24 16:29:02, 091.14, 091.14, 060.00
